Model,CV_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
LogisticRegression,0.7685402240178753,0.6975,0.3734015345268542,0.7174447174447175,0.4911690496215307,0.7782790494654901
DecisionTree,0.7590413749265633,0.7565,0.4365079365079365,0.6756756756756757,0.5303760848601736,0.7469796452847299
RandomForest,0.8462723078849284,0.8625,0.7920353982300885,0.4398034398034398,0.5655608214849921,0.8501722061044096
GradientBoosting,0.8611915035008814,0.8035,0.5115131578947368,0.7641277641277642,0.6128078817733991,0.8677182575487661
